smiles,max_spin_ml,spin_buried_vol_ml,ionization_energy_ml,electron_affinity_ml,stability_ml,max_spin_dft,spin_buried_vol_dft,stability_dft,ionization_energy_dft,electron_affinity_dft
C/C=C(CC)\C(C#N)=C/[CH]S,0.23468882,57.867332,0.9263145923614502,-0.3199626505374908,96.132891,0.42034079329137086,40.45079236439364,69.4337526998251,0.7029904365822883,-0.37991905012745697
COc1cc([C@H](C)OC)sc1[O],0.24485864,57.37197,0.9976704120635986,-0.1994830965995788,95.129038,0.28259681504749873,58.61323474119564,94.48339398882071,0.8910717083382487,-0.34002797021070297
C=C(C(C)=S)/C(C#N)=C(\C)[CH]O,0.3123723,61.988106,0.7703498005867004,-0.3936565220355987,96.369491,0.24158525026301592,40.25345521054313,78.17419269739233,0.6855210823455691,-0.603238349506555
C=C(CCO)/C(C#N)=C\[CH]S,0.23192312,57.446888,0.9966198801994324,-0.2240651845932006,95.850732,0.3380143937547719,51.82452275553414,84.92380306779555,0.8540105549631845,-0.3325449913723024
CCc1c[nH]c([O])c1C(S)C=O,0.30634624,64.17474,0.8721762895584106,-0.3369023203849792,98.857428,0.2811892425445928,56.599883868110936,92.5404217408813,0.9078607917700703,-0.292762754780743
C/C=C(C(\C#N)=C/[CH]S)/C(C)C,0.2619797,59.320763,0.9697223901748656,-0.2907119691371918,96.221778,0.29690431218976765,37.04353529213951,72.19831968265112,0.7758066233898608,-0.41853122093372663
CS[C]1C(C)=CC=C1C,0.27306703,59.033646,0.8421176671981812,-0.3810154497623443,95.38029449999999,0.41737299634731095,39.99640733321775,69.12775751585221,0.7047591406700704,-0.25123902493347394
CC(=N)C1=CC=C[CH]CC1=S,0.21089779,59.53617,0.9699333310127258,-0.142194777727127,98.9912805,0.5119539837562349,45.63674696530202,70.03904777749027,1.166091588787439,0.15433842812577225
C=Cc1sc([O])c(O)c1C(C)=S,0.22887614,56.95679,1.0617069005966189,-0.0672229155898094,95.51298299999999,0.38780265710455913,31.11087284059609,61.72073998536813,1.0817380091503441,-0.13434129005766327
CC(C)C1=C2C=CC=C2S[CH]1,0.22233172,56.76912,0.9552121758461,-0.2424927651882171,95.652534,0.28809265441825593,34.86253287075813,70.45790014984533,1.075125776941345,-0.20103503963662916
